Fast Food Restaurant,Item,Type,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g),Protein (g),Revenue 2016 (billion dollars)
McDonald's,Hamburger,Burger,98,240,8,3,0,480,32,6,12,36.4
McDonald's,Cheeseburger,Burger,113,290,11,5,0.5,680,33,7,15,36.4
McDonald's,Big Mac,Burger,211,530,27,10,1,960,47,9,24,36.4
McDonald's,Quarter Pounder with Cheese,Burger,202,520,26,12,1.5,1100,41,10,30,36.4
McDonald's,Bacon Clubhouse Burger,Burger,270,720,40,15,1.5,1470,51,14,39,36.4
McDonald's,Double Quarter Pounder with Cheese,Burger,283,750,43,19,2.5,1280,42,10,48,36.4
McDonald's,Chocolate Shake (12oz),Milkshake,257,530,15,10,1,160,86,63,11,36.4
McDonald's,Premium Crispy Chicken Classic Sandwich,Breaded Chicken Sandwich,213,510,22,3.5,0,990,55,10,24,36.4
McDonald's,Premium Grilled Chicken Classic Sandwich,Grilled Chicken Sandwich,200,350,9,2,0,820,42,8,28,36.4
McDonald's,Chicken McNuggets® (4 piece),Chicken Nuggets,65,190,12,2,0,360,12,0,9,36.4
McDonald's,Small French Fries,French Fries,75,230,11,1.5,0,130,30,0,2,36.4
Burger King,Hamburger,Burger,93,220,8,3,0.5,380,26,6,11,9.7
Burger King,Cheeseburger,Burger,104,270,12,5,0.5,560,27,7,13,9.7
Burger King,WHOPPER® Sandwich,Burger,260,630,38,11,1.5,810,49,11,26,9.7
Burger King,Bacon & Cheese WHOPPER® Sandwich,Burger,279,750,49,16,2,1260,46,8,33,9.7
Burger King,DOUBLE WHOPPER® Sandwich,Burger,341,850,54,18,2.5,870,49,11,43,9.7
Burger King,Double Bacon King,Burger,327,1040,69,28,2.5,1900,48,10,57,9.7
Burger King,Chocolate Milk Shake,Milkshake,343,610,16,10,0,500,103,88,14,9.7
Burger King,TENDERCRISP® Chicken Sandwich,Breaded Chicken Sandwich,248,660,40,7,0,1220,49,7,26,9.7
Burger King,TENDERGRILL® Chicken Sandwich,Grilled Chicken Sandwich,217,420,18,3,0,700,35,6,32,9.7
Burger King,Chicken Nuggets- 4pc,Chicken Nuggets,58,170,11,1.5,0,310,11,0,8,9.7
Burger King,French Fries - small (Salted),French Fries,128,320,14,2.5,0,480,44,0,4,9.7
Wendy's,Jr. Hamburger,Burger,102,250,10,4,1,600,25,5,14,9.9
Wendy's,Jr. Cheeseburger,Burger,113,290,13,6,1,800,26,6,16,9.9
Wendy's,Dave's Single Cheeseburger,Burger,247,580,31,13,2,1220,42,10,30,9.9
Wendy's,1/2 lb. Double w/ Cheese,Burger,329,820,47,20,3,1510,42,10,48,9.9
Wendy's,3/4 lb. Triple w/ Cheese,Burger,423,1090,66,29,4,1990,43,11,69,9.9
Wendy's,Baconator®,Burger,295,940,56,23,3,1890,41,9,57,9.9
Wendy's,Son of Baconator®,Burger,211,670,37,15,2,1670,41,9,38,9.9
Wendy's,"Chocolate Frosty Shake, Small",Milkshake,342,580,13,8,1,250,104,93,11,9.9
Wendy's,Homestyle Chicken Sandwich,Breaded Chicken Sandwich,247,510,20,4,0,1200,54,8,29,9.9
Wendy's,Ultimate Chicken Grill Sandwich,Grilled Chicken Sandwich,231,370,7,2,0,880,43,9,34,9.9
Wendy's,4-Piece Regular Chicken Nuggets,Chicken Nuggets,60,180,12,3,0,350,10,0,9,9.9
Wendy's,Small Natural-Cut Fries,French Fries,108,310,15,3,0,330,40,0,4,9.9
Chick-fil-A,Grilled Chicken Sandwich,Grilled Chicken Sandwich,193,270,3.5,1,0,940,33,7,28,8
Chick-fil-A,Chick-fil-A Chicken Sandwich,Breaded Chicken Sandwich,170,410,16,3.5,0,1300,38,5,28,8
Chick-fil-A,4-Piece Chicken Nuggets,Chicken Nuggets,57,130,6,1,0,545,6,1.5,13,8
Chick-fil-A,Small Waffle Fries,French Fries,85,280,14,5,1,105,37,0,3,8
Chick-fil-A,Chocolate Milkshake,Milkshake,418,560,22,13,0,380,82,79,12,8
Jack in the Box,Hamburger,Burger,105,280,11,4,0.5,680,32,5,14,3.5
Jack in the Box,Hamburger with Cheese,Burger,106,320,14,6,1,880,32,6,16,3.5
Jack in the Box,Jumbo Jack,Burger,218,490,23,8,1.5,910,44,7,26,3.5
Jack in the Box,Bacon Ultimate Cheeseburger™,Burger,284,910,56,24,3,2190,44,7,57,3.5
Jack in the Box,Big Cheeseburger,Burger,181,560,30,12,1.5,1170,43,6,29,3.5
Jack in the Box,Jr. Jack™ with Cheese,Burger,153,470,19,7,1,920,33,6,16,3.5
Jack in the Box,Sirloin Cheeseburger,Burger,370,1030,71,23,2.5,1990,52,9,41,3.5
Jack in the Box,Sourdough Jack®,Burger,223,660,41,15,1.5,1450,40,8,35,3.5
Jack in the Box,"Shake, Chocolate w/ Whipped Topping 16 oz.",Milkshake,376,800,38,26,1.5,300,101,88,13,3.5
Jack in the Box,Chicken Sandwich,Breaded Chicken Sandwich,147,410,21,3.5,0,880,42,4,15,3.5
Jack in the Box,Sourdough Grilled Chicken Club,Grilled Chicken Sandwich,261,540,26,7,0,1490,38,6,39,3.5
Jack in the Box,Chicken Nuggets 5 pc.,Chicken Nuggets,77,240,17,2,0,600,13,0,9,3.5
Jack in the Box,Sourdough Grilled Chicken Club,French Fries,107,330,15,1.5,0,610,45,0,4,3.5
Sonic,JR. BURGER,Burger,113,330,17,6,0.5,480,30,3,15,4.5
Sonic,JR. CHEESEBURGER,Burger,131,390,23,9,0.5,810,31,3,19,4.5
Sonic,SONIC® BURGER WITH KETCHUP,Burger,265,650,37,14,1.5,840,46,10,31,4.5
Sonic,SuperSONIC® BACON DOUBLE CHEESEBURGER WITH MAYO,Burger,396,1240,87,35,3.5,1690,44,8,67,4.5
Sonic,SONIC® BACON CHEESEBURGER WITH MAYO,Burger,278,820,54,20,2,1260,43,7,39,4.5
